caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,P3,P4,P7_5_4,P8_6,P9,P10,P11,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2,P5,P6,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8,P12,P15,P16,P17,P23,P26,P27,P28,P29,P30
220.0,No,Sí,49.0,46 a 55 años,NSE B2,B2,Masculino,San Juan de Lurigancho,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que el producto sea de calidad,Que el producto me genere confianza,Que tenga todas las certificaciones de calidad,Que se venda en puntos de venta de confianza,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que sea la que siempre compran en mi casa,Que tenga un empaque práctico,Alkofarma,10: Definitivamente lo recomendaría,,,10: Definitivamente lo recomendaría,,,,,,,,,,,Casa Grande,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,No precisa,,,,Alkofarma,,,,No precisa,,,,,Alkofarma,,,,No precisa,,,,,,No precisa,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,No precisa,,,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,,Bicarbonato de sodio,Alcohol medicinal 70°,Alcohol en gel,,,,Marca D,,,,Alkofarma,,,,Floresta,Garbi,,,,100.0,,,1000.0,,,0.0,,,1,,,2,,,2,,,239,1.0,0.81815058,0.71428571,"Dispensador,Spray,Botella,Con pulverizador",Spray,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de manos,,Desinfección de manos,,Botica/Farmacia de cadena,"Porque tiene buen aroma / se siente el alcohol,Porque es de una marca reconocida","Alkofarma,Casa Grande,Hersil","Alkofarma,Casa Grande,Hersil","Alkofarma,Casa Grande",,Alcohol,"Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático)","Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","2. Una vez a la semana,Una vez al mes,Una vez al mes,Una vez al mes,Una vez cada 2 o 3 meses,Una vez al mes","2. Una vez a la semana,Una vez cada 2 o 3 meses,Una vez cada 15 días,Una vez cada 15 días,Una vez cada 15 días,Una vez al mes"
221.0,No,Sí,50.0,46 a 55 años,NSE B1,B1,Masculino,Breña,Trabajador dependiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que tenga todas las certificaciones de calidad,Que el producto me genere confianza,Que tenga un precio accesible,Que se venda en puntos de venta de confianza,Que tenga un empaque práctico,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que esté en promoción/oferta,Que tenga trayectoria,No precisa,,,,,,,,,,,,,,,,Ninguno,Ninguno [NN,No precisa,,,,No precisa,,,,No precisa,,,,No precisa,,,,No precisa,,,,,Ninguno,,,,Ninguno,,,,,,No precisa,,,,Cualquiera,,,,Otras marcas,Cualquiera,,,Otras marcas,,,,,,Cualquiera,,,,No,Agua azahar,Alcohol medicinal 70%,Alcohol puro 96°,,,,,,Alcohol puro 96°,,,,,,,,,,,No precisa,,,,,,,,,,,,0.0,,,,,,,,,1,,,,,240,1.0,0.84784707,1.05555556,"Spray,Botella",Spray,,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas",,,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,Mercado",Porque desinfecta (mata gérmenes y bacterias),Ninguna,Casa Grande,No precisa [NN,,,"Agua azahar,Alcohol medicinal 70%,Alcohol puro 96°",Alcohol puro 96°,"Una vez al año,Una vez al año,Una vez al año","Una vez al año,Una vez al mes,Una vez al mes"
222.0,No,Sí,37.0,36 a 45 años,NSE D,D,Femenino,Los Olivos,Su casa,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,5. Muy satisfecho,Que no dañe la piel,Que el producto sea de calidad,Que tenga un precio accesible,Que tenga un empaque práctico,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Que la marca sea prestigiosa,Que sea fácil de encontrar en distintos establecimientos,La que tenga el vendedor,,,,,,,,,,,,,,,Ninguno,Jemfarma,Ninguno [NN,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,,Jemfarma,,,,Jemfarma,,,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,,,Jemfarma,,,,No,Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel,,,,,,Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel,,,,Aky,,,,,Sanakol,,,Ime,,,,,100.0,,,,0.0,,0.0,,,1,,,,1,,1,,,241,1.0,0.84059992,0.86363636,"Spray,Botella,Con chupón",Spray,,"Desinfección de manos,Desinfección de objetos y superficies,Curar heridas","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas",,,"Botica/Farmacia de mi barrio,Bodega",Porque puedo desinfectar objetos,Ninguna,"Jemfarma,Hersil",No precisa [NN,,,"Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses","Una vez cada 2 o 3 meses,Una vez cada 15 días,Una vez cada 15 días"
223.0,No,Sí,50.0,46 a 55 años,NSE B2,B2,Masculino,San Juan de Lurigancho,Trabajador dependiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que se venda en puntos de venta de confianza,Que tenga todas las certificaciones de calidad,Que tenga un precio accesible,Que no dañe la piel,Que tenga un empaque práctico,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que sea la que siempre compran en mi casa,Que sea fácil de encontrar en distintos establecimientos,Alkofarma,6,,,,,,,,,,,,,6,Inkafarma,Ninguno,Ninguno [NN,Alkofarma,Otras marcas,,,Alkofarma,Otras marcas,,,Alkofarma,Portugal,,,Alkofarma,Otras marcas,,,No precisa,,,,,Alkofarma,Otras marcas,,,Portugal,,,,,,Alkofarma,,,,Alkofarma,Erza,CKF,Portugal,Alkofarma,Erza,Portugal,,Alkofarma,Erza,Portugal,Otras marcas,,,Alkofarma,Erza,Portugal,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol en gel,,,,,Bicarbonato de sodio,Alcohol medicinal 70°,Alcohol en gel,,,,Alkofarma,,,,Alkofarma,,,,Slim,,,,,100.0,,,120.0,,,400.0,,,1,,,1,,,1,,,242,1.0,0.81815058,0.71428571,"Dispensador,Spray,Botella",Spray,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",,,,Botica/Farmacia de cadena,"Porque es económico,Porque no me da inconvenientes,Es fácil de encontrar","Alkofarma,Inkafarma,Mifarma","Alkofarma,Erza,Hersil,Mifarma,Inkafarma","Alkofarma,Inkafarma,Mifarma",,Alcohol,"Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol en gel","Alcohol medicinal 70%,Alcohol en gel","Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez al año,Nunca","Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez al mes,Una vez al mes"
224.0,No,Sí,33.0,25 a 35 años,NSE B1,B1,Masculino,Ate,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que sea fácil de encontrar en distintos establecimientos,Que el producto sea de calidad,Que tenga un precio accesible,Que no dañe la piel,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Que tenga un empaque práctico,Que esté en promoción/oferta,Casa Grande,8,,,9,,,,,,,,,,,Alkofarma,Casa Grande,Ninguno [NN,Alkofarma,,,,Alkofarma,Boreal,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,Otras marcas,,,Boreal,,,,,,Alkofarma,Otras marcas,,,Alkofarma,Otras marcas,,,Alkofarma,Otras marcas,,,Alkofarma,,,,,,Alkofarma,Otras marcas,,,Sí,Alcohol medicinal 70%,Alcohol puro 96°,,,,,,,Alcohol puro 96°,,,,,,,,,,,Alkofarma,,,,,,,,,,,,1000.0,,,,,,,,,2,,,,,244,1.0,0.81815058,0.71428571,"Dispensador,Spray,Botella,Con chupón,Con pulverizador",Spray,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de objetos y superficies,Desinfección de manos,Desinfección de objetos y superficies,,Botica/Farmacia de cadena,"Porque no irrita la piel,Porque es económico",Casa Grande,"Alkofarma,Casa Grande,Hersil","Alkofarma,Casa Grande",,Alcohol,"Alcohol medicinal 70%,Alcohol puro 96°","Alcohol medicinal 70%,Alcohol puro 96°","Una vez al año,Nunca","Una vez al mes,Una vez cada 15 días"
225.0,No,Sí,43.0,36 a 45 años,NSE B1,B1,Masculino,San Borja,Trabajador dependiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que sea fácil de encontrar en distintos establecimientos,Que el producto sea de calidad,Que no dañe la piel,Que el producto me genere confianza,Que tenga un empaque práctico,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga trayectoria,CKF,,,,,,10: Definitivamente lo recomendaría,,,,10: Definitivamente lo recomendaría,,,,,Purol,CKF,Ninguno [NN,CKF,,,,CKF,,,,CKF,,,,CKF,,,,CKF,,,,,CKF,,,,CKF,,,,,,CKF,,,,CKF,,,,CKF,,,,CKF,Boreal,,,,,CKF,Boreal,,,No,Bicarbonato de sodio,Agua azahar,Alcohol puro 96°,Alcohol en gel,,,,,Bicarbonato de sodio,Agua azahar,Alcohol puro 96°,Alcohol en gel,,,Sin marca/A granel,D Leos,,,,No precisa,,,Clean & Fresh,,,,,50.0,120.0,,,0.0,,500.0,,,1,1,,,1,,2,,,245,1.0,0.84784707,1.05555556,"Dispensador,Spray,Botella,Con pulverizador","Spray,Botella,Con pulverizador",Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies,Curar heridas",Curar heridas,,"Desinfección de manos,Desinfección de objetos y superficies,Desinfección de ropa",,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,Bodega","Porque desinfecta (mata gérmenes y bacterias),Porque me protege contra el COVID",CKF,"CKF,Boreal,Purol,Hersil","CKF,Purol",,,"Bicarbonato de sodio,Agua azahar,Alcohol puro 96°,Alcohol en gel",Alcohol puro 96°,"Con menor frecuencia,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez al año","Una vez al mes,Una vez al mes,Una vez cada 15 días,Una vez al mes"
226.0,No,Sí,38.0,36 a 45 años,NSE D,D,Femenino,San Martín de Porres,Su casa,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que el producto sea de calidad,Que tenga un precio accesible,Que no dañe la piel,Que sea fácil de encontrar en distintos establecimientos,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Que tenga un empaque práctico,Que se venda en puntos de venta de confianza,Alkofarma,7,,,,,,,,,,,,,7,Casa Grande,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Bicarbonato de sodio,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,,,Bicarbonato de sodio,Alcohol medicinal 70°,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,Erza,,,,Alkofarma,Alco,,,Saivel,,,Laboratorios Mundofar,,100.0,,,1000.0,1000.0,,380.0,120.0,,1,,,1,1,,1,1,,246,1.0,0.84059992,0.86363636,"Botella,Con pulverizador",Spray,,Desinfección de manos,Desinfección de objetos y superficies,,Desinfección de manos,,"Botica/Farmacia de cadena,Vendedor independiente amigo/conocido",Porque no daña la ropa,Alkofarma,"Alkofarma,Casa Grande,Boreal,Hersil",Alkofarma,,Alcohol,"Bicarbonato de sodio,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático)","Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Una vez al mes,Una vez al mes,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez cada 6 meses","Una vez al mes,Una vez cada 15 días,Una vez cada 15 días,Una vez al mes,Una vez cada 2 o 3 meses"
227.0,No,Sí,26.0,25 a 35 años,NSE C1,C1,Masculino,Magdalena Vieja,Trabajador dependiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que el producto sea de calidad,Que tenga todas las certificaciones de calidad,Que la marca sea prestigiosa,Que sea fácil de encontrar en distintos establecimientos,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga un empaque práctico,Que esté en promoción/oferta,Que tenga un precio accesible,Alkofarma,10: Definitivamente lo recomendaría,,6,,,,,,,5,,,,,Erza,Alkofarma,Portugal,Alkofarma,Erza,,,Alkofarma,Jemfarma,Erza,,Alkofarma,Jemfarma,,,Alkofarma,Jemfarma,Erza,,Otras marcas,,,,,Alkofarma,Jemfarma,,,Jemfarma,,,,,,Alkofarma,Jemfarma,Erza,,Alkofarma,,,,Alkofarma,Jemfarma,,,Alkofarma,Jemfarma,Erza,,,,Alkofarma,Jemfarma,Erza,,Sí,Agua azahar,Alcohol puro 96°,Alcohol en gel,,,,,,Alcohol puro 96°,,,,,,,,,,,Alkofarma,,,,,,,,,,,,0.0,,,,,,,,,2,,,,,247,1.0,1.18347052,1.23076923,"Dispensador,Spray,Botella,Con pulverizador",Spray,"Desinfección de manos,Desinfección de ropa","Desinfección de manos,Desinfección de ropa","Desinfección de manos,Desinfección de objetos y superficies",,"Desinfección de manos,Desinfección de ropa",,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,Supermercado","Porque es de calidad,Porque la presentación es la adecuada","Alkofarma,Neo Clean","Alkofarma,Erza,Boreal,Portugal,Purol,Neo Clean","Alkofarma,Erza,Purol",Irrita la piel,Alcohol,"Agua azahar,Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez al mes,Una vez al mes,Una vez cada 2 o 3 meses","Una vez cada 15 días,2. Una vez a la semana,2. Una vez a la semana"
228.0,No,Sí,25.0,25 a 35 años,NSE B2,B2,Femenino,Breña,Trabajador independiente,Sí,,,Vendedor independiente amigo/conocido,Botica/Farmacia de cadena,4. Satisfecho,Que no dañe la piel,Que el producto me genere confianza,Que tenga todas las certificaciones de calidad,Que sea fácil de encontrar en distintos establecimientos,Que tenga trayectoria,Que esté en promoción/oferta,Que tenga un precio accesible,Que sea la que siempre compran en mi casa,Instant Clean,6,,,7,,,,,,,,,,9,Alkofarma,Instant Clean,Ninguno [NN,Alkofarma,Boreal,Portugal,,Alkofarma,Otras marcas,,,Alkofarma,Otras marcas,,,Otras marcas,,,,Alkofarma,,,,,Alkofarma,Otras marcas,,,Alkofarma,Otras marcas,,,,,Otras marcas,,,,Alkofarma,Boreal,Otras marcas,,Alkofarma,Otras marcas,,,Alkofarma,Otras marcas,,,,,Otras marcas,,,,Sí,Alcohol en gel,,,,,,,,Alcohol en gel,,,,,,,,,,,,,,Instant Clean,,,,,,,,,,,1000.0,,,,,,,,,2,,,248,1.0,0.84784707,1.05555556,"Dispensador,Spray",Spray,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de manos,,,,,"Botica/Farmacia de cadena,Supermercado",Porque desinfecta (mata gérmenes y bacterias),"Alkofarma,Casa Grande,Instant Clean","Alkofarma,Casa Grande,Portugal,Sanakol,Instant Clean","Alkofarma,Casa Grande,Instant Clean",,"Gel,Alcohol,Alcohol en gel",Alcohol en gel,Alcohol en gel,Una vez cada 6 meses,Una vez al mes
229.0,No,Sí,50.0,46 a 55 años,NSE C2,C2,Femenino,Chorrillos,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que tenga un precio accesible,Que el producto me genere confianza,Que no dañe la piel,Que se venda en puntos de venta de confianza,Que la marca sea prestigiosa,Que sea la que siempre compran en mi casa,Que esté en promoción/oferta,Que tenga un empaque práctico,Alkofarma,9,,,,,,8,,9,,,8,,7,Casa Grande,Alkofarma,Ninguno [NN,Alkofarma,Boreal,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,Boreal,,,,Alkofarma,Boreal,Otras marcas,,Alkofarma,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,Boreal,,,,,Alkofarma,,,,Sí,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,,,,,Alcohol puro 96°,Alcohol en gel,,,,,,,,,,QR Flores,,,Nex,,,,,,,,,1000.0,,380.0,,,,,,,2,,1,,,249,1.0,1.28649606,1.12,"Dispensador,Spray,Botella,Con pulverizador","Dispensador,Spray,Botella,Con pulverizador","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas",,"Desinfección de manos,Desinfección de objetos y superficies,Curar heridas",,"Botica/Farmacia de cadena,Supermercado","Porque desinfecta (mata gérmenes y bacterias),Porque es económico,Porque es de calidad",Ninguna,"Alkofarma,Jemfarma,Boreal,Sanakol,Purol,Hersil,QR Flores","Alkofarma,Boreal,Sanakol,Hersil,QR Flores",,"Alcohol,Alcohol en gel","Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Una vez cada 15 días,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Nunca","Una vez al mes,2. Una vez a la semana,2. Una vez a la semana,2. Una vez a la semana"
230.0,No,Sí,53.0,46 a 55 años,NSE B2,B2,Femenino,Carmen de la Legua,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que la marca sea prestigiosa,Que no dañe la piel,Que el producto me genere confianza,Que tenga todas las certificaciones de calidad,Que sea fácil de encontrar en distintos establecimientos,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que esté en promoción/oferta,Que tenga trayectoria,Casa Grande,,,,8,,,,7,,,,,,,Portugal,Casa Grande,Purol,Portugal,Otras marcas,,,Portugal,,,,Alkofarma,Portugal,,,Portugal,,,,Alkofarma,Portugal,,,,Boreal,Portugal,,,Alkofarma,Portugal,,,,,Alkofarma,Portugal,,,Boreal,Portugal,,,Boreal,Portugal,,,Boreal,Portugal,,,,,Boreal,Portugal,,,No,Alcohol puro 96°,Alcohol en gel,,,,,,,Alcohol puro 96°,,,,,,,,,,,Casa Grande,,,,,,,,,,,,900.0,,,,,,,,,1,,,,,250,1.0,1.10975483,1.0,"Dispensador,Spray,Botella",Spray,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",Lo uso para llenar el spray o algún frasco,,,,"Botica/Farmacia de cadena,Mercado","Porque desinfecta (mata gérmenes y bacterias),Porque es puro",Casa Grande,"Casa Grande,Portugal,Purol","Casa Grande,Portugal",Porque no siento que sea efectivo,,"Alcohol puro 96°,Alcohol en gel",Alcohol puro 96°,"Con menor frecuencia,Una vez cada 2 o 3 meses","Una vez al mes,Una vez cada 2 o 3 meses"
231.0,No,Sí,38.0,36 a 45 años,NSE B1,B1,Femenino,Surquillo,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que sea fácil de encontrar en distintos establecimientos,Que tenga un precio accesible,Que la marca sea prestigiosa,Que no dañe la piel,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga un empaque práctico,Que sea la que siempre compran en mi casa,Que tenga trayectoria,Alkofarma,10: Definitivamente lo recomendaría,,,,,,,,,,,,,,Boreal,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,Boreal,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,Ninguno,,,,,,Cualquiera,,,,Alkofarma,,,,Ninguno,,,,Alkofarma,Boreal,,,,,Alkofarma,,,,Sí,Bicarbonato de sodio,Agua azahar,Alcohol medicinal 70%,,,,,,Bicarbonato de sodio,Agua azahar,Alcohol medicinal 70°,,,,Alkofarma,Alkofarma,,,Alkofarma,,,,,,,,,100.0,120.0,,1000.0,,,,,,2,1,,2,,,,,,251,1.0,0.84784707,1.05555556,"Botella,Con pulverizador",Spray,,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de objetos y superficies,,Desinfección de objetos y superficies,,Botica/Farmacia de cadena,"Porque tiene buen aroma / se siente el alcohol,Porque es económico,Porque demora en evaporarse,Porque es fácil de encontrar",Alkofarma,"Alkofarma,Boreal",Alkofarma,,"Bicarbonato,Agua de azahar,Alcohol","Bicarbonato de sodio,Agua azahar,Alcohol medicinal 70%",Alcohol medicinal 70%,"Una vez al mes,Una vez al mes,Una vez al mes","Una vez al mes,Una vez al mes,2. Una vez a la semana"
232.0,No,Sí,46.0,46 a 55 años,NSE D,D,Masculino,San Juan de Lurigancho,Trabajador independiente,Sí,,,(no responde),Botica/Farmacia de mi barrio,4. Satisfecho,Que se venda en puntos de venta de confianza,Que tenga un precio accesible,Que tenga un empaque práctico,Que sea fácil de encontrar en distintos establecimientos,Que la marca sea prestigiosa,Que el producto me genere confianza,Que esté en promoción/oferta,Que sea la que siempre compran en mi casa,MPH Farm,,,,,,,,,,,,,,10: Definitivamente lo recomendaría,Erza,Mathfarm,Ninguno [NN,Otras marcas,,,,Boreal,Otras marcas,,,Boreal,Portugal,,,Otras marcas,,,,No precisa,,,,,Boreal,,,,No precisa,,,,,,Otras marcas,,,,Otras marcas,,,,Boreal,Otras marcas,,,Boreal,Portugal,Otras marcas,,,,No precisa,,,,No,Alcohol medicinal 70%,Alcohol puro 96°,,,,,,,Alcohol puro 96°,,,,,,,,,,,Matfarma,,,,,,,,,,,,0.0,,,,,,,,,2,,,,,252,1.0,0.94332407,0.95454545,"Dispensador,Spray,Botella",Spray,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",Lo uso para llenar el spray o algún frasco,,,,Botica/Farmacia de mi barrio,Porque no me da inconvenientes,Mathfarm,"Boreal,Hersil,Mathfarm,MPH Farm","Mathfarm,MPH Farm",,,"Alcohol medicinal 70%,Alcohol puro 96°",Alcohol medicinal 70%,"Una vez cada 2 o 3 meses,Una vez cada 6 meses","Una vez cada 15 días,Una vez cada 15 días"
233.0,No,Sí,44.0,36 a 45 años,NSE C1,C1,Masculino,Chorrillos,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que el producto sea de calidad,Que tenga todas las certificaciones de calidad,Que no dañe la piel,Que tenga un precio accesible,Que sea la que siempre compran en mi casa,Que tenga trayectoria,Que se venda en puntos de venta de confianza,Que el producto me genere confianza,Alkofarma,8,,,,,,,,,,,,,8,Inkafarma,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Agua azahar,Agua oxigenada,Alcohol puro 96°,Alcohol yodado,Alcohol en gel,Vinagre Bully (Aromático),,,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,,,,Alkofarma,,,QR Flores,,,Aval,,,Erza,,,,120.0,,1000.0,,380.0,250.0,,,,2,,6,,6,2,,253,1.0,1.28649606,1.12,"Dispensador,Botella,Con pulverizador","Dispensador,Botella",Desinfección de manos,,"Desinfección de manos,Desinfección de objetos y superficies",,Desinfección de objetos y superficies,,Botica/Farmacia de cadena,"Porque desinfecta la piel,Porque desinfecta (mata gérmenes y bacterias),Porque me da confianza",Ninguna,"Alkofarma,Inkafarma","Alkofarma,Inkafarma",,"Alcohol,Agua oxigenada","Agua azahar,Agua oxigenada,Alcohol puro 96°,Alcohol yodado,Alcohol en gel,Vinagre Bully (Aromático)","Alcohol puro 96°,Alcohol en gel","Una vez cada 2 o 3 meses,Una vez al mes,Una vez cada 15 días,Una vez cada 6 meses,Una vez cada 15 días,Una vez cada 6 meses","Una vez al mes,Una vez al mes,2. Una vez a la semana,Una vez cada 6 meses,Una vez cada 15 días,Una vez cada 2 o 3 meses"
